Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1784018115,2026-07-14T08:35:15Z,DLH5KH,"48.352123,11.794726",0,4,216
1784018142,2026-07-14T08:35:42Z,DLH5KH,"48.352283,11.79495",0,0,171
1784018311,2026-07-14T08:38:31Z,DLH5KH,"48.351807,11.79516",0,7,160
1784018323,2026-07-14T08:38:43Z,DLH5KH,"48.351391,11.795513",0,9,149
1784018329,2026-07-14T08:38:49Z,DLH5KH,"48.351185,11.795725",0,9,146
1784018335,2026-07-14T08:38:55Z,DLH5KH,"48.350983,11.795938",0,9,146
1784018341,2026-07-14T08:39:01Z,DLH5KH,"48.35075,11.796165",0,9,146
1784018347,2026-07-14T08:39:07Z,DLH5KH,"48.350517,11.796353",0,10,151
1784018354,2026-07-14T08:39:14Z,DLH5KH,"48.350224,11.796535",0,11,157
1784018364,2026-07-14T08:39:24Z,DLH5KH,"48.349667,11.796733",0,11,168
1784018376,2026-07-14T08:39:36Z,DLH5KH,"48.349113,11.796834",0,9,171
1784018383,2026-07-14T08:39:43Z,DLH5KH,"48.349766,11.796693",0,0,174
1784018398,2026-07-14T08:39:58Z,DLH5KH,"48.348335,11.797028",0,8,165
1784018406,2026-07-14T08:40:06Z,DLH5KH,"48.348118,11.797437",0,0,126
1784018428,2026-07-14T08:40:28Z,DLH5KH,"48.348175,11.799118",0,0,84
1784018434,2026-07-14T08:40:34Z,DLH5KH,"48.348225,11.799678",0,0,84
1784018445,2026-07-14T08:40:45Z,DLH5KH,"48.348312,11.80076",0,15,84
1784018481,2026-07-14T08:41:21Z,DLH5KH,"48.346977,11.802497",0,0,171
1784018491,2026-07-14T08:41:31Z,DLH5KH,"48.346619,11.802556",0,9,174
1784018501,2026-07-14T08:41:41Z,DLH5KH,"48.34623,11.802627",0,10,174
1784018940,2026-07-14T08:49:00Z,DLH5KH,"48.345104,11.802822",0,10,174
1784018947,2026-07-14T08:49:07Z,DLH5KH,"48.34478,11.802659",0,11,202
1784018952,2026-07-14T08:49:12Z,DLH5KH,"48.34465,11.802398",0,10,227
