Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1784004041,2026-07-14T04:40:41Z,SWR8AD,"55.627312,12.640573",0,0,33
1784004066,2026-07-14T04:41:06Z,SWR8AD,"55.627415,12.640335",0,0,33
1784004096,2026-07-14T04:41:36Z,SWR8AD,"55.627213,12.640157",0,4,28
1784004110,2026-07-14T04:41:50Z,SWR8AD,"55.626991,12.639942",0,4,2
1784004123,2026-07-14T04:42:03Z,SWR8AD,"55.626781,12.639899",0,3,309
1784004138,2026-07-14T04:42:18Z,SWR8AD,"55.626698,12.640103",0,0,300
1784004344,2026-07-14T04:45:44Z,SWR8AD,"55.626766,12.639895",0,3,300
1784004352,2026-07-14T04:45:52Z,SWR8AD,"55.626839,12.639685",0,5,303
1784004359,2026-07-14T04:45:59Z,SWR8AD,"55.626957,12.639384",0,6,300
1784004364,2026-07-14T04:46:04Z,SWR8AD,"55.627007,12.639126",0,7,292
1784004369,2026-07-14T04:46:09Z,SWR8AD,"55.62698,12.638847",0,8,267
1784004373,2026-07-14T04:46:13Z,SWR8AD,"55.626869,12.638605",0,8,236
1784004379,2026-07-14T04:46:19Z,SWR8AD,"55.626652,12.638543",0,9,191
1784004385,2026-07-14T04:46:25Z,SWR8AD,"55.626434,12.638762",0,10,146
1784004388,2026-07-14T04:46:28Z,SWR8AD,"55.626362,12.638977",0,10,129
1784004391,2026-07-14T04:46:31Z,SWR8AD,"55.62627,12.639235",0,11,126
1784004394,2026-07-14T04:46:34Z,SWR8AD,"55.626171,12.6395",0,12,123
1784004398,2026-07-14T04:46:38Z,SWR8AD,"55.626057,12.639791",0,13,123
1784004401,2026-07-14T04:46:41Z,SWR8AD,"55.625969,12.640049",0,13,123
1784004403,2026-07-14T04:46:43Z,SWR8AD,"55.625885,12.64027",0,14,123
1784004411,2026-07-14T04:46:51Z,SWR8AD,"55.625622,12.640977",0,15,123
1784004417,2026-07-14T04:46:57Z,SWR8AD,"55.625385,12.641616",0,16,123
1784004425,2026-07-14T04:47:05Z,SWR8AD,"55.625023,12.642582",0,17,123
1784004431,2026-07-14T04:47:11Z,SWR8AD,"55.624699,12.643375",0,18,126
1784004438,2026-07-14T04:47:18Z,SWR8AD,"55.624374,12.644127",0,14,129
1784004440,2026-07-14T04:47:20Z,SWR8AD,"55.62426,12.644327",0,14,135
1784004445,2026-07-14T04:47:25Z,SWR8AD,"55.62402,12.644515",0,14,157
1784004448,2026-07-14T04:47:28Z,SWR8AD,"55.623814,12.644534",0,15,177
1784004451,2026-07-14T04:47:31Z,SWR8AD,"55.623604,12.644426",0,15,196
1784004455,2026-07-14T04:47:35Z,SWR8AD,"55.623322,12.644244",0,15,199
1784004458,2026-07-14T04:47:38Z,SWR8AD,"55.623104,12.644119",0,16,196
1784004461,2026-07-14T04:47:41Z,SWR8AD,"55.622849,12.643997",0,16,194
1784004465,2026-07-14T04:47:45Z,SWR8AD,"55.622593,12.64389",0,17,194
1784004468,2026-07-14T04:47:48Z,SWR8AD,"55.622383,12.643762",0,17,196
1784004471,2026-07-14T04:47:51Z,SWR8AD,"55.622131,12.643579",0,18,202
1784004473,2026-07-14T04:47:53Z,SWR8AD,"55.621918,12.643396",0,18,205
1784004477,2026-07-14T04:47:57Z,SWR8AD,"55.621685,12.643204",0,19,205
1784004480,2026-07-14T04:48:00Z,SWR8AD,"55.621441,12.643011",0,19,205
1784004482,2026-07-14T04:48:02Z,SWR8AD,"55.621231,12.642839",0,20,205
1784004486,2026-07-14T04:48:06Z,SWR8AD,"55.620884,12.642538",0,19,205
1784004493,2026-07-14T04:48:13Z,SWR8AD,"55.620426,12.642163",0,12,205
1784004501,2026-07-14T04:48:21Z,SWR8AD,"55.620079,12.641873",0,11,205
1784004508,2026-07-14T04:48:28Z,SWR8AD,"55.619778,12.641616",0,11,205
1784004514,2026-07-14T04:48:34Z,SWR8AD,"55.619465,12.641352",0,11,205
1784004521,2026-07-14T04:48:41Z,SWR8AD,"55.619144,12.641082",0,12,205
1784004529,2026-07-14T04:48:49Z,SWR8AD,"55.618786,12.640779",0,9,205
1784004535,2026-07-14T04:48:55Z,SWR8AD,"55.618553,12.640694",0,8,191
1784004540,2026-07-14T04:49:00Z,SWR8AD,"55.618343,12.640707",0,9,180
1784004546,2026-07-14T04:49:06Z,SWR8AD,"55.618088,12.640736",0,10,177
1784004552,2026-07-14T04:49:12Z,SWR8AD,"55.617855,12.640758",0,8,177
1784004560,2026-07-14T04:49:20Z,SWR8AD,"55.617634,12.64079",0,4,177
1784004674,2026-07-14T04:51:14Z,SWR8AD,"55.617413,12.640821",0,3,174
1784004685,2026-07-14T04:51:25Z,SWR8AD,"55.617203,12.640843",0,6,177
1784004691,2026-07-14T04:51:31Z,SWR8AD,"55.616993,12.640865",0,7,177
1784004699,2026-07-14T04:51:39Z,SWR8AD,"55.616726,12.640907",0,8,174
1784004705,2026-07-14T04:51:45Z,SWR8AD,"55.616512,12.640915",0,7,177
1784004713,2026-07-14T04:51:53Z,SWR8AD,"55.616295,12.640821",0,7,196
1784004722,2026-07-14T04:52:02Z,SWR8AD,"55.616169,12.640608",0,1,219
1784004752,2026-07-14T04:52:32Z,SWR8AD,"55.61602,12.640395",0,11,219
1784004758,2026-07-14T04:52:38Z,SWR8AD,"55.615368,12.639375",0,40,219
1784004765,2026-07-14T04:52:45Z,SWR8AD,"55.61377,12.636895",0,78,222
1784004773,2026-07-14T04:52:53Z,SWR8AD,"55.610962,12.632613",0,113,221
1784004782,2026-07-14T04:53:02Z,SWR8AD,"55.607254,12.626786",0,142,221
1784004788,2026-07-14T04:53:08Z,SWR8AD,"55.603775,12.621377",0,160,220
1784004792,2026-07-14T04:53:12Z,SWR8AD,"55.601341,12.617626",0,158,221
1784004795,2026-07-14T04:53:15Z,SWR8AD,"55.599945,12.615566",50,156,221
1784004797,2026-07-14T04:53:17Z,SWR8AD,"55.59906,12.614136",125,154,221
1784004799,2026-07-14T04:53:19Z,SWR8AD,"55.597897,12.612305",225,154,221
1784004805,2026-07-14T04:53:25Z,SWR8AD,"55.594498,12.606983",525,151,221
1784004813,2026-07-14T04:53:33Z,SWR8AD,"55.590355,12.60046",875,150,221
1784004822,2026-07-14T04:53:42Z,SWR8AD,"55.585739,12.593246",1125,158,221
1784004828,2026-07-14T04:53:48Z,SWR8AD,"55.582256,12.587843",1275,165,221
1784004836,2026-07-14T04:53:56Z,SWR8AD,"55.577366,12.58029",1500,177,220
1784004845,2026-07-14T04:54:05Z,SWR8AD,"55.571968,12.572136",1700,190,220
1784004851,2026-07-14T04:54:11Z,SWR8AD,"55.567406,12.565269",1850,202,220
1784004859,2026-07-14T04:54:19Z,SWR8AD,"55.561249,12.556375",2050,219,217
1784004863,2026-07-14T04:54:23Z,SWR8AD,"55.557632,12.55163",2150,228,215
1784004865,2026-07-14T04:54:25Z,SWR8AD,"55.55571,12.549216",2225,233,215
1784004868,2026-07-14T04:54:28Z,SWR8AD,"55.553833,12.546969",2300,236,214
1784004870,2026-07-14T04:54:30Z,SWR8AD,"55.55191,12.544639",2375,240,214
1784004872,2026-07-14T04:54:32Z,SWR8AD,"55.549946,12.542267",2450,245,214
1784004874,2026-07-14T04:54:34Z,SWR8AD,"55.54818,12.540121",2500,248,214
1784004876,2026-07-14T04:54:36Z,SWR8AD,"55.546051,12.537564",2600,251,213
1784004878,2026-07-14T04:54:38Z,SWR8AD,"55.543804,12.534971",2700,254,213
1784004880,2026-07-14T04:54:40Z,SWR8AD,"55.541756,12.532482",2800,258,213
1784004882,2026-07-14T04:54:42Z,SWR8AD,"55.539551,12.529907",2900,259,213
1784004885,2026-07-14T04:54:45Z,SWR8AD,"55.537537,12.527576",3000,262,213
1784004887,2026-07-14T04:54:47Z,SWR8AD,"55.535385,12.52508",3100,264,213
1784004893,2026-07-14T04:54:53Z,SWR8AD,"55.529091,12.517633",3425,269,213
1784004901,2026-07-14T04:55:01Z,SWR8AD,"55.520386,12.507076",3950,273,215
1784004910,2026-07-14T04:55:10Z,SWR8AD,"55.511719,12.495866",4550,274,216
1784004916,2026-07-14T04:55:16Z,SWR8AD,"55.505257,12.487593",5025,274,215
1784004931,2026-07-14T04:55:31Z,SWR8AD,"55.490158,12.468234",6050,276,216
1784004943,2026-07-14T04:55:43Z,SWR8AD,"55.47728,12.451544",6750,284,216
1784004958,2026-07-14T04:55:58Z,SWR8AD,"55.461044,12.430614",7575,294,215
1784004970,2026-07-14T04:56:10Z,SWR8AD,"55.447113,12.412748",8350,297,216
1784004983,2026-07-14T04:56:23Z,SWR8AD,"55.43367,12.395648",9175,296,215
1784004998,2026-07-14T04:56:38Z,SWR8AD,"55.417179,12.374767",10025,304,215
1784005010,2026-07-14T04:56:50Z,SWR8AD,"55.402424,12.356124",10550,317,215
1784005025,2026-07-14T04:57:05Z,SWR8AD,"55.383617,12.336564",10875,339,206
1784005027,2026-07-14T04:57:07Z,SWR8AD,"55.379608,12.333203",10950,344,205
1784005029,2026-07-14T04:57:09Z,SWR8AD,"55.376728,12.330822",10975,346,205
1784005031,2026-07-14T04:57:11Z,SWR8AD,"55.373653,12.328324",11025,349,204
1784005033,2026-07-14T04:57:13Z,SWR8AD,"55.37114,12.326256",11075,352,204
1784005035,2026-07-14T04:57:15Z,SWR8AD,"55.367882,12.323664",11150,354,204
1784005037,2026-07-14T04:57:17Z,SWR8AD,"55.364914,12.321248",11225,356,204
1784005039,2026-07-14T04:57:19Z,SWR8AD,"55.361736,12.31867",11300,357,204
1784005041,2026-07-14T04:57:21Z,SWR8AD,"55.358292,12.315924",11400,358,204
1784005054,2026-07-14T04:57:34Z,SWR8AD,"55.339233,12.300649",12175,360,204
1784005086,2026-07-14T04:58:06Z,SWR8AD,"55.291443,12.261954",13925,369,204
1784005117,2026-07-14T04:58:37Z,SWR8AD,"55.241318,12.221401",15525,379,204
1784005149,2026-07-14T04:59:09Z,SWR8AD,"55.191101,12.18101",17075,389,204
1784005181,2026-07-14T04:59:41Z,SWR8AD,"55.138229,12.1386",18725,394,204
1784005212,2026-07-14T05:00:12Z,SWR8AD,"55.084946,12.095947",20175,401,204
1784005244,2026-07-14T05:00:44Z,SWR8AD,"55.030331,12.052335",21450,411,204
1784005276,2026-07-14T05:01:16Z,SWR8AD,"54.975677,12.008805",22925,414,204
1784005308,2026-07-14T05:01:48Z,SWR8AD,"54.920143,11.964694",24025,423,204
1784005340,2026-07-14T05:02:20Z,SWR8AD,"54.862278,11.918918",25125,431,204
1784005371,2026-07-14T05:02:51Z,SWR8AD,"54.805801,11.874363",26250,436,204
1784005403,2026-07-14T05:03:23Z,SWR8AD,"54.74762,11.82853",27175,444,204
1784005434,2026-07-14T05:03:54Z,SWR8AD,"54.688156,11.781787",28025,451,204
1784005466,2026-07-14T05:04:26Z,SWR8AD,"54.628262,11.73498",28850,457,204
1784005497,2026-07-14T05:04:57Z,SWR8AD,"54.567135,11.687455",29700,458,204
1784005528,2026-07-14T05:05:28Z,SWR8AD,"54.507568,11.641227",30675,458,204
1784005560,2026-07-14T05:06:00Z,SWR8AD,"54.446228,11.593727",31525,458,204
1784005591,2026-07-14T05:06:31Z,SWR8AD,"54.386627,11.5476",32300,460,204
1784005622,2026-07-14T05:07:02Z,SWR8AD,"54.325623,11.500772",33100,460,204
1784005655,2026-07-14T05:07:35Z,SWR8AD,"54.262665,11.45262",33850,460,204
1784005686,2026-07-14T05:08:06Z,SWR8AD,"54.202305,11.406313",34625,457,204
1784005718,2026-07-14T05:08:38Z,SWR8AD,"54.142208,11.360671",35650,445,204
1784005750,2026-07-14T05:09:10Z,SWR8AD,"54.082581,11.315447",36225,446,204
1784005780,2026-07-14T05:09:40Z,SWR8AD,"54.02499,11.271811",36475,450,204
1784005811,2026-07-14T05:10:11Z,SWR8AD,"53.965588,11.226977",36825,450,203
1784005843,2026-07-14T05:10:43Z,SWR8AD,"53.905582,11.181901",37000,452,203
1784005874,2026-07-14T05:11:14Z,SWR8AD,"53.845917,11.137312",37000,449,203
1784005906,2026-07-14T05:11:46Z,SWR8AD,"53.786133,11.092424",37000,446,203
1784005938,2026-07-14T05:12:18Z,SWR8AD,"53.725479,11.04738",37000,450,203
1784005970,2026-07-14T05:12:50Z,SWR8AD,"53.664162,11.001839",37000,454,203
1784006002,2026-07-14T05:13:22Z,SWR8AD,"53.602982,10.956587",37025,458,203
1784006034,2026-07-14T05:13:54Z,SWR8AD,"53.540359,10.910365",37050,462,203
1784006066,2026-07-14T05:14:26Z,SWR8AD,"53.478012,10.864615",37050,462,203
1784006097,2026-07-14T05:14:57Z,SWR8AD,"53.417622,10.820321",37000,454,203
1784006129,2026-07-14T05:15:29Z,SWR8AD,"53.355988,10.775246",37000,454,203
1784006161,2026-07-14T05:16:01Z,SWR8AD,"53.296143,10.731681",37000,452,203
1784006193,2026-07-14T05:16:33Z,SWR8AD,"53.234344,10.686637",37000,450,203
1784006224,2026-07-14T05:17:04Z,SWR8AD,"53.173828,10.64656",37000,454,200
1784006256,2026-07-14T05:17:36Z,SWR8AD,"53.110016,10.607064",37025,456,200
1784006289,2026-07-14T05:18:09Z,SWR8AD,"53.046555,10.567671",37050,458,200
1784006320,2026-07-14T05:18:40Z,SWR8AD,"52.98394,10.528983",37050,460,200
1784006352,2026-07-14T05:19:12Z,SWR8AD,"52.919632,10.489502",37000,460,200
1784006384,2026-07-14T05:19:44Z,SWR8AD,"52.85701,10.45105",37000,458,200
1784006417,2026-07-14T05:20:17Z,SWR8AD,"52.792053,10.411351",37025,456,200
1784006449,2026-07-14T05:20:49Z,SWR8AD,"52.729065,10.372925",37000,454,200
1784006480,2026-07-14T05:21:20Z,SWR8AD,"52.666718,10.335159",36975,452,200
1784006512,2026-07-14T05:21:52Z,SWR8AD,"52.605751,10.298035",36950,451,200
1784006543,2026-07-14T05:22:23Z,SWR8AD,"52.544117,10.260681",36950,451,200
1784006575,2026-07-14T05:22:55Z,SWR8AD,"52.482971,10.223923",37025,450,200
1784006607,2026-07-14T05:23:27Z,SWR8AD,"52.419388,10.185928",37050,450,199
1784006639,2026-07-14T05:23:59Z,SWR8AD,"52.358002,10.14946",37050,446,200
1784006670,2026-07-14T05:24:30Z,SWR8AD,"52.297112,10.113072",37025,438,200
1784006702,2026-07-14T05:25:02Z,SWR8AD,"52.238159,10.077591",37000,434,200
1784006734,2026-07-14T05:25:34Z,SWR8AD,"52.177425,10.041818",37000,439,199
1784006765,2026-07-14T05:26:05Z,SWR8AD,"52.117859,10.006866",37000,439,199
1784006797,2026-07-14T05:26:37Z,SWR8AD,"52.056946,9.971113",37000,442,199
1784006829,2026-07-14T05:27:09Z,SWR8AD,"51.995453,9.934701",37025,443,200
1784006860,2026-07-14T05:27:40Z,SWR8AD,"51.935211,9.900487",37025,448,197
