Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1783879457,2026-07-12T18:04:17Z,SAS71G,"63.992893,-22.622141",0,0,315
1783879475,2026-07-12T18:04:35Z,SAS71G,"63.992775,-22.621906",0,4,315
1783879483,2026-07-12T18:04:43Z,SAS71G,"63.992683,-22.621695",0,3,315
1783879505,2026-07-12T18:05:05Z,SAS71G,"63.992451,-22.62096",0,0,289
1783879517,2026-07-12T18:05:17Z,SAS71G,"63.992374,-22.62056",0,4,264
1783879522,2026-07-12T18:05:22Z,SAS71G,"63.99234,-22.620321",0,4,236
1783879530,2026-07-12T18:05:30Z,SAS71G,"63.992393,-22.620108",0,0,210
1783879544,2026-07-12T18:05:44Z,SAS71G,"63.992474,-22.619888",0,1,182
1783879741,2026-07-12T18:09:01Z,SAS71G,"63.992149,-22.619915",0,0,180
1783879758,2026-07-12T18:09:18Z,SAS71G,"63.991848,-22.619862",0,3,171
1783879764,2026-07-12T18:09:24Z,SAS71G,"63.991756,-22.619661",0,5,149
1783879771,2026-07-12T18:09:31Z,SAS71G,"63.99173,-22.619366",0,5,118
1783879773,2026-07-12T18:09:33Z,SAS71G,"63.99173,-22.619146",0,6,101
1783879777,2026-07-12T18:09:37Z,SAS71G,"63.991734,-22.618895",0,7,95
1783879781,2026-07-12T18:09:41Z,SAS71G,"63.99173,-22.618597",0,8,92
1783879784,2026-07-12T18:09:44Z,SAS71G,"63.991722,-22.618315",0,8,92
1783879787,2026-07-12T18:09:47Z,SAS71G,"63.991722,-22.617998",0,8,90
1783879791,2026-07-12T18:09:51Z,SAS71G,"63.991722,-22.61768",0,9,90
1783879795,2026-07-12T18:09:55Z,SAS71G,"63.99173,-22.617306",0,9,90
1783879797,2026-07-12T18:09:57Z,SAS71G,"63.99173,-22.61706",0,9,90
1783879800,2026-07-12T18:10:00Z,SAS71G,"63.99173,-22.61684",0,9,90
1783879806,2026-07-12T18:10:06Z,SAS71G,"63.991734,-22.616201",0,10,90
1783879815,2026-07-12T18:10:15Z,SAS71G,"63.991722,-22.615541",0,10,90
1783879822,2026-07-12T18:10:22Z,SAS71G,"63.991722,-22.614616",0,9,90
1783879829,2026-07-12T18:10:29Z,SAS71G,"63.991722,-22.613903",0,9,90
1783879837,2026-07-12T18:10:37Z,SAS71G,"63.991734,-22.613192",0,9,90
1783879844,2026-07-12T18:10:44Z,SAS71G,"63.99173,-22.612528",0,8,90
1783879852,2026-07-12T18:10:52Z,SAS71G,"63.991734,-22.61187",0,9,90
1783879859,2026-07-12T18:10:59Z,SAS71G,"63.991734,-22.611156",0,10,92
1783879867,2026-07-12T18:11:07Z,SAS71G,"63.99173,-22.610165",0,12,90
1783879874,2026-07-12T18:11:14Z,SAS71G,"63.99173,-22.609121",0,14,92
1783879876,2026-07-12T18:11:16Z,SAS71G,"63.991722,-22.608887",0,14,92
1783879878,2026-07-12T18:11:18Z,SAS71G,"63.99173,-22.608545",0,14,92
1783879879,2026-07-12T18:11:19Z,SAS71G,"63.99173,-22.608326",0,14,90
1783879882,2026-07-12T18:11:22Z,SAS71G,"63.99173,-22.608078",0,14,90
1783879888,2026-07-12T18:11:28Z,SAS71G,"63.99173,-22.60709",0,13,90
1783879895,2026-07-12T18:11:35Z,SAS71G,"63.99173,-22.606211",0,13,90
1783879901,2026-07-12T18:11:41Z,SAS71G,"63.991722,-22.605612",0,6,95
1783879913,2026-07-12T18:11:53Z,SAS71G,"63.991539,-22.6054",0,3,149
1783879922,2026-07-12T18:12:02Z,SAS71G,"63.991276,-22.605427",0,10,180
1783879925,2026-07-12T18:12:05Z,SAS71G,"63.991013,-22.605453",0,16,180
1783879928,2026-07-12T18:12:08Z,SAS71G,"63.990612,-22.605453",0,29,180
1783879930,2026-07-12T18:12:10Z,SAS71G,"63.990219,-22.605442",0,39,180
1783879932,2026-07-12T18:12:12Z,SAS71G,"63.989727,-22.605442",0,48,180
1783879933,2026-07-12T18:12:13Z,SAS71G,"63.989353,-22.605453",0,52,180
1783879934,2026-07-12T18:12:14Z,SAS71G,"63.98909,-22.605442",0,58,180
1783879936,2026-07-12T18:12:16Z,SAS71G,"63.988552,-22.605453",0,65,180
1783879937,2026-07-12T18:12:17Z,SAS71G,"63.988239,-22.605469",0,66,180
1783879938,2026-07-12T18:12:18Z,SAS71G,"63.987865,-22.605469",0,74,180
1783879939,2026-07-12T18:12:19Z,SAS71G,"63.987442,-22.605427",0,78,180
1783879947,2026-07-12T18:12:27Z,SAS71G,"63.984009,-22.605427",0,108,180
1783879955,2026-07-12T18:12:35Z,SAS71G,"63.979069,-22.605469",0,133,180
1783879962,2026-07-12T18:12:42Z,SAS71G,"63.97467,-22.605427",125,143,180
1783879971,2026-07-12T18:12:51Z,SAS71G,"63.9692,-22.605579",575,132,180
1783879977,2026-07-12T18:12:57Z,SAS71G,"63.965801,-22.605469",875,126,179
1783879985,2026-07-12T18:13:05Z,SAS71G,"63.9608,-22.60532",1225,126,179
1783879994,2026-07-12T18:13:14Z,SAS71G,"63.955811,-22.605003",1425,136,177
1783879996,2026-07-12T18:13:16Z,SAS71G,"63.954208,-22.604582",1475,139,173
1783879998,2026-07-12T18:13:18Z,SAS71G,"63.953018,-22.603947",1525,143,168
1783880000,2026-07-12T18:13:20Z,SAS71G,"63.951603,-22.602942",1575,148,164
1783880002,2026-07-12T18:13:22Z,SAS71G,"63.95002,-22.601294",1650,155,156
1783880004,2026-07-12T18:13:24Z,SAS71G,"63.948715,-22.59951",1700,162,151
1783880007,2026-07-12T18:13:27Z,SAS71G,"63.947086,-22.596899",1750,166,145
1783880009,2026-07-12T18:13:29Z,SAS71G,"63.945877,-22.594482",1800,174,140
1783880011,2026-07-12T18:13:31Z,SAS71G,"63.944572,-22.590857",1850,181,134
