Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1786608701,2026-08-13T08:11:41Z,WMT3178,"45.627747,8.719162",0,0,78
1786612997,2026-08-13T09:23:17Z,WMT3178,"45.627781,8.719402",0,4,78
1786613005,2026-08-13T09:23:25Z,WMT3178,"45.627811,8.719645",0,5,78
1786613015,2026-08-13T09:23:35Z,WMT3178,"45.627724,8.719986",0,7,118
1786613028,2026-08-13T09:23:48Z,WMT3178,"45.62727,8.720123",0,9,165
1786613037,2026-08-13T09:23:57Z,WMT3178,"45.626778,8.720261",0,11,168
1786613062,2026-08-13T09:24:22Z,WMT3178,"45.62516,8.720707",0,17,168
1786613069,2026-08-13T09:24:29Z,WMT3178,"45.624619,8.72085",0,18,168
1786613077,2026-08-13T09:24:37Z,WMT3178,"45.623875,8.721067",0,20,168
1786613085,2026-08-13T09:24:45Z,WMT3178,"45.623119,8.721269",0,21,168
1786613092,2026-08-13T09:24:52Z,WMT3178,"45.622402,8.721462",0,23,168
1786613102,2026-08-13T09:25:02Z,WMT3178,"45.621262,8.721788",0,25,168
1786613117,2026-08-13T09:25:17Z,WMT3178,"45.619434,8.72229",0,25,168
1786613133,2026-08-13T09:25:33Z,WMT3178,"45.617912,8.722715",0,19,168
1786613141,2026-08-13T09:25:41Z,WMT3178,"45.617203,8.722904",0,15,168
1786613149,2026-08-13T09:25:49Z,WMT3178,"45.616699,8.723042",0,12,168
1786613157,2026-08-13T09:25:57Z,WMT3178,"45.616199,8.723179",0,15,168
1786613165,2026-08-13T09:26:05Z,WMT3178,"45.615612,8.723346",0,16,168
1786613179,2026-08-13T09:26:19Z,WMT3178,"45.614548,8.723642",0,15,168
1786613187,2026-08-13T09:26:27Z,WMT3178,"45.614105,8.723608",0,13,194
1786613191,2026-08-13T09:26:31Z,WMT3178,"45.613953,8.723312",0,13,230
1786613195,2026-08-13T09:26:35Z,WMT3178,"45.613907,8.723024",0,13,253
1786613199,2026-08-13T09:26:39Z,WMT3178,"45.613861,8.72263",0,13,258
1786613204,2026-08-13T09:26:44Z,WMT3178,"45.613827,8.722425",0,13,258
1786613206,2026-08-13T09:26:46Z,WMT3178,"45.613697,8.722132",0,14,239
1786613220,2026-08-13T09:27:00Z,WMT3178,"45.612797,8.722123",0,15,168
1786613226,2026-08-13T09:27:06Z,WMT3178,"45.612328,8.722257",0,16,168
1786613237,2026-08-13T09:27:17Z,WMT3178,"45.611355,8.722508",0,19,168
1786613244,2026-08-13T09:27:24Z,WMT3178,"45.610703,8.722709",0,21,168
1786613265,2026-08-13T09:27:45Z,WMT3178,"45.608414,8.723333",0,0,168
1786613309,2026-08-13T09:28:29Z,WMT3178,"45.606274,8.726746",0,0,95
1786613321,2026-08-13T09:28:41Z,WMT3178,"45.606167,8.728157",0,20,95
1786613329,2026-08-13T09:28:49Z,WMT3178,"45.606079,8.729391",0,22,95
1786613337,2026-08-13T09:28:57Z,WMT3178,"45.605995,8.730526",0,21,95
1786613344,2026-08-13T09:29:04Z,WMT3178,"45.605919,8.731484",0,16,95
1786613356,2026-08-13T09:29:16Z,WMT3178,"45.605984,8.732088",0,13,56
1786613378,2026-08-13T09:29:38Z,WMT3178,"45.607132,8.733193",0,0,22
1786613385,2026-08-13T09:29:45Z,WMT3178,"45.607578,8.733444",0,12,22
1786613393,2026-08-13T09:29:53Z,WMT3178,"45.607994,8.733702",0,13,22
1786613408,2026-08-13T09:30:08Z,WMT3178,"45.608868,8.734114",0,14,11
1786613427,2026-08-13T09:30:27Z,WMT3178,"45.61002,8.733822",0,0,351
1786613447,2026-08-13T09:30:47Z,WMT3178,"45.611561,8.733411",0,17,348
1786613491,2026-08-13T09:31:31Z,WMT3178,"45.615131,8.732414",0,16,348
1786613504,2026-08-13T09:31:44Z,WMT3178,"45.616024,8.732372",0,12,19
1786613526,2026-08-13T09:32:06Z,WMT3178,"45.616356,8.734215",0,0,90
1786613626,2026-08-13T09:33:46Z,WMT3178,"45.633438,8.73262",500,171,348
1786613633,2026-08-13T09:33:53Z,WMT3178,"45.63913,8.731116",725,177,349
1786613642,2026-08-13T09:34:02Z,WMT3178,"45.645996,8.729174",1100,178,348
1786613648,2026-08-13T09:34:08Z,WMT3178,"45.651314,8.727882",1375,178,351
1786613650,2026-08-13T09:34:10Z,WMT3178,"45.652988,8.727539",1475,177,352
1786613652,2026-08-13T09:34:12Z,WMT3178,"45.654602,8.727231",1575,178,352
1786613654,2026-08-13T09:34:14Z,WMT3178,"45.656246,8.72699",1675,178,353
1786613656,2026-08-13T09:34:16Z,WMT3178,"45.65797,8.726715",1750,178,354
1786613658,2026-08-13T09:34:18Z,WMT3178,"45.659683,8.726494",1825,181,355
1786613661,2026-08-13T09:34:21Z,WMT3178,"45.661652,8.726293",1875,183,356
1786613663,2026-08-13T09:34:23Z,WMT3178,"45.663834,8.726303",1925,187,359
1786613665,2026-08-13T09:34:25Z,WMT3178,"45.665634,8.726427",1975,189,4
1786613667,2026-08-13T09:34:27Z,WMT3178,"45.667141,8.726715",2000,191,8
1786613669,2026-08-13T09:34:29Z,WMT3178,"45.669296,8.727365",2075,194,12
