Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1783954776,2026-07-13T14:59:36Z,DLH727,"31.158314,121.806091",0,2,219
1783955747,2026-07-13T15:15:47Z,DLH727,"31.158495,121.810555",0,0,67
1783955838,2026-07-13T15:17:18Z,DLH727,"31.158705,121.811272",0,10,70
1783955960,2026-07-13T15:19:20Z,DLH727,"31.135117,121.82077",475,166,162
1783955970,2026-07-13T15:19:30Z,DLH727,"31.127747,121.82357",925,161,161
1783955980,2026-07-13T15:19:40Z,DLH727,"31.120823,121.826294",1425,155,161
1783955990,2026-07-13T15:19:50Z,DLH727,"31.114014,121.82917",1900,151,158
1783956000,2026-07-13T15:20:00Z,DLH727,"31.10788,121.832169",2275,150,156
1783956005,2026-07-13T15:20:05Z,DLH727,"31.104719,121.833801",2375,152,156
1783956010,2026-07-13T15:20:10Z,DLH727,"31.101334,121.835632",2450,157,155
1783956015,2026-07-13T15:20:15Z,DLH727,"31.098104,121.837502",2500,162,152
1783956020,2026-07-13T15:20:20Z,DLH727,"31.094742,121.839615",2575,166,151
1783956025,2026-07-13T15:20:25Z,DLH727,"31.091261,121.841988",2675,170,149
1783956030,2026-07-13T15:20:30Z,DLH727,"31.087879,121.84436",2775,172,148
1783956035,2026-07-13T15:20:35Z,DLH727,"31.084465,121.846786",2875,173,149
1783956040,2026-07-13T15:20:40Z,DLH727,"31.080971,121.848869",2975,172,156
1783956045,2026-07-13T15:20:45Z,DLH727,"31.077065,121.850464",3075,170,164
1783956050,2026-07-13T15:20:50Z,DLH727,"31.07332,121.851196",3150,168,174
1783956055,2026-07-13T15:20:55Z,DLH727,"31.0697,121.851143",3250,164,186
1783956060,2026-07-13T15:21:00Z,DLH727,"31.066078,121.850082",3375,163,200
1783956065,2026-07-13T15:21:05Z,DLH727,"31.062492,121.848045",3450,164,210
1783956070,2026-07-13T15:21:10Z,DLH727,"31.059189,121.845192",3525,167,220
1783956075,2026-07-13T15:21:15Z,DLH727,"31.056349,121.842278",3575,173,222
1783956080,2026-07-13T15:21:20Z,DLH727,"31.05337,121.839096",3625,176,224
1783956085,2026-07-13T15:21:25Z,DLH727,"31.050249,121.835632",3675,182,224
1783956090,2026-07-13T15:21:30Z,DLH727,"31.047224,121.832115",3725,188,225
1783956095,2026-07-13T15:21:35Z,DLH727,"31.044291,121.828598",3800,191,227
1783956108,2026-07-13T15:21:48Z,DLH727,"31.034866,121.816566",3925,202,227
1783956115,2026-07-13T15:21:55Z,DLH727,"31.031719,121.81234",3975,214,229
1783956125,2026-07-13T15:22:05Z,DLH727,"31.024925,121.803169",4100,226,230
1783956135,2026-07-13T15:22:15Z,DLH727,"31.017975,121.793678",4275,234,229
1783956145,2026-07-13T15:22:25Z,DLH727,"31.010605,121.783821",4425,242,229
1783956155,2026-07-13T15:22:35Z,DLH727,"31.003511,121.774384",4675,247,229
1783956165,2026-07-13T15:22:45Z,DLH727,"30.995783,121.764053",5025,247,229
1783956180,2026-07-13T15:23:00Z,DLH727,"30.984797,121.749557",5600,243,228
1783956195,2026-07-13T15:23:15Z,DLH727,"30.973345,121.734505",6075,248,230
1783956205,2026-07-13T15:23:25Z,DLH727,"30.966969,121.723351",6400,252,244
1783956210,2026-07-13T15:23:30Z,DLH727,"30.964874,121.71656",6575,254,254
1783956215,2026-07-13T15:23:35Z,DLH727,"30.963802,121.709671",6700,259,265
1783956220,2026-07-13T15:23:40Z,DLH727,"30.963755,121.703247",6850,265,273
1783956225,2026-07-13T15:23:45Z,DLH727,"30.964594,121.695663",6975,271,280
1783956230,2026-07-13T15:23:50Z,DLH727,"30.965931,121.68882",7100,275,283
1783956235,2026-07-13T15:23:55Z,DLH727,"30.967575,121.681175",7275,276,284
1783956240,2026-07-13T15:24:00Z,DLH727,"30.969086,121.674339",7450,274,284
1783956245,2026-07-13T15:24:05Z,DLH727,"30.970688,121.667015",7600,276,284
1783956250,2026-07-13T15:24:10Z,DLH727,"30.972198,121.659691",7725,277,283
1783956265,2026-07-13T15:24:25Z,DLH727,"30.976419,121.638153",8050,276,282
1783956280,2026-07-13T15:24:40Z,DLH727,"30.98053,121.615913",8300,278,282
1783956295,2026-07-13T15:24:55Z,DLH727,"30.984425,121.594261",8550,282,282
1783956310,2026-07-13T15:25:10Z,DLH727,"30.988476,121.571739",8900,282,282
1783956325,2026-07-13T15:25:25Z,DLH727,"30.992571,121.549492",9450,282,282
1783956345,2026-07-13T15:25:45Z,DLH727,"30.998251,121.518784",10025,286,282
1783956360,2026-07-13T15:26:00Z,DLH727,"31.002136,121.497589",10400,288,281
1783956385,2026-07-13T15:26:25Z,DLH727,"31.009964,121.454453",10725,311,281
1783956400,2026-07-13T15:26:40Z,DLH727,"31.01473,121.427933",10975,322,282
1783956414,2026-07-13T15:26:54Z,DLH727,"31.01906,121.404312",11125,334,281
1783956435,2026-07-13T15:27:15Z,DLH727,"31.025024,121.37146",11300,349,282
1783956459,2026-07-13T15:27:39Z,DLH727,"31.034454,121.320297",11600,366,281
1783956475,2026-07-13T15:27:55Z,DLH727,"31.039915,121.290604",11900,372,282
1783956491,2026-07-13T15:28:11Z,DLH727,"31.045734,121.259018",12300,374,282
1783956506,2026-07-13T15:28:26Z,DLH727,"31.054138,121.22966",13000,374,292
1783956512,2026-07-13T15:28:32Z,DLH727,"31.05835,121.220291",13150,380,299
1783956516,2026-07-13T15:28:36Z,DLH727,"31.063145,121.211502",13250,384,302
1783956520,2026-07-13T15:28:40Z,DLH727,"31.06752,121.204742",13325,388,302
1783956527,2026-07-13T15:28:47Z,DLH727,"31.072037,121.198647",13425,391,312
1783956535,2026-07-13T15:28:55Z,DLH727,"31.083256,121.186562",13625,397,321
1783956540,2026-07-13T15:29:00Z,DLH727,"31.090517,121.180351",13750,400,326
1783956545,2026-07-13T15:29:05Z,DLH727,"31.098358,121.174782",13875,404,331
1783956550,2026-07-13T15:29:10Z,DLH727,"31.107742,121.169418",14025,407,336
1783956555,2026-07-13T15:29:15Z,DLH727,"31.116121,121.165634",14150,410,340
1783956560,2026-07-13T15:29:20Z,DLH727,"31.125244,121.162498",14275,412,346
1783956573,2026-07-13T15:29:33Z,DLH727,"31.154022,121.157875",14700,414,355
1783956575,2026-07-13T15:29:35Z,DLH727,"31.158157,121.157501",14775,414,355
1783956583,2026-07-13T15:29:43Z,DLH727,"31.172821,121.1558",15000,414,353
1783956589,2026-07-13T15:29:49Z,DLH727,"31.183868,121.154266",15175,412,353
1783956591,2026-07-13T15:29:51Z,DLH727,"31.187532,121.153709",15225,412,353
1783956594,2026-07-13T15:29:54Z,DLH727,"31.194376,121.152779",15325,412,352
1783956596,2026-07-13T15:29:56Z,DLH727,"31.196915,121.152382",15375,411,352
1783956598,2026-07-13T15:29:58Z,DLH727,"31.201859,121.15168",15450,412,353
1783956601,2026-07-13T15:30:01Z,DLH727,"31.206293,121.151077",15525,410,353
1783956632,2026-07-13T15:30:32Z,DLH727,"31.264437,121.143112",16350,409,353
1783956663,2026-07-13T15:31:03Z,DLH727,"31.322393,121.134979",17125,410,353
1783956698,2026-07-13T15:31:38Z,DLH727,"31.388077,121.12561",18000,408,352
1783956729,2026-07-13T15:32:09Z,DLH727,"31.447403,121.115921",18650,407,347
1783956734,2026-07-13T15:32:14Z,DLH727,"31.458298,121.112259",18750,406,342
1783956737,2026-07-13T15:32:17Z,DLH727,"31.461365,121.110962",18775,405,340
1783956739,2026-07-13T15:32:19Z,DLH727,"31.465118,121.109299",18825,404,338
1783956741,2026-07-13T15:32:21Z,DLH727,"31.469879,121.106926",18875,404,336
1783956743,2026-07-13T15:32:23Z,DLH727,"31.473177,121.105148",18900,402,335
1783956745,2026-07-13T15:32:25Z,DLH727,"31.475876,121.103699",18925,403,334
1783956749,2026-07-13T15:32:29Z,DLH727,"31.481602,121.100479",18975,403,334
1783956751,2026-07-13T15:32:31Z,DLH727,"31.48514,121.09845",19000,404,334
1783956753,2026-07-13T15:32:33Z,DLH727,"31.489426,121.095993",19050,404,334
1783956755,2026-07-13T15:32:35Z,DLH727,"31.492636,121.094162",19075,404,334
1783956757,2026-07-13T15:32:37Z,DLH727,"31.496592,121.091965",19125,404,334
1783956759,2026-07-13T15:32:39Z,DLH727,"31.499588,121.090286",19150,406,334
1783956762,2026-07-13T15:32:42Z,DLH727,"31.502701,121.088509",19175,405,334
1783956793,2026-07-13T15:33:13Z,DLH727,"31.557529,121.059067",19650,413,335
1783956825,2026-07-13T15:33:45Z,DLH727,"31.614029,121.02932",20250,414,335
1783956857,2026-07-13T15:34:17Z,DLH727,"31.668686,121.000351",20925,413,335
1783956890,2026-07-13T15:34:50Z,DLH727,"31.728973,120.96814",21175,426,335
1783956921,2026-07-13T15:35:21Z,DLH727,"31.785828,120.937668",21450,435,335
1783956953,2026-07-13T15:35:53Z,DLH727,"31.843174,120.907005",21700,444,335
1783956984,2026-07-13T15:36:24Z,DLH727,"31.901413,120.875809",21950,451,335
1783957015,2026-07-13T15:36:55Z,DLH727,"31.961563,120.843567",22225,456,335
1783957047,2026-07-13T15:37:27Z,DLH727,"32.023132,120.810501",22500,464,335
1783957077,2026-07-13T15:37:57Z,DLH727,"32.082451,120.778534",22750,470,335
1783957109,2026-07-13T15:38:29Z,DLH727,"32.1465,120.743866",23100,472,334
1783957123,2026-07-13T15:38:43Z,DLH727,"32.171127,120.727219",23200,469,325
1783957125,2026-07-13T15:38:45Z,DLH727,"32.174698,120.724258",23200,468,323
1783957127,2026-07-13T15:38:47Z,DLH727,"32.179886,120.71962",23225,467,322
1783957129,2026-07-13T15:38:49Z,DLH727,"32.181564,120.718048",23250,468,320
1783957131,2026-07-13T15:38:51Z,DLH727,"32.186588,120.713013",23275,466,319
1783957133,2026-07-13T15:38:53Z,DLH727,"32.190079,120.709366",23275,466,318
1783957135,2026-07-13T15:38:55Z,DLH727,"32.193295,120.705833",23300,466,317
