Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1783958275,2026-07-13T15:57:55Z,SIA22,"1.350015,103.982147",0,0,151
1783958328,2026-07-13T15:58:48Z,SIA22,"1.350254,103.982048",0,5,149
1783958340,2026-07-13T15:59:00Z,SIA22,"1.35046,103.981979",0,4,135
1783958355,2026-07-13T15:59:15Z,SIA22,"1.350678,103.981857",0,3,112
1783958373,2026-07-13T15:59:33Z,SIA22,"1.350876,103.981628",0,4,75
1783958386,2026-07-13T15:59:46Z,SIA22,"1.350899,103.981415",0,4,50
1783958401,2026-07-13T16:00:01Z,SIA22,"1.35078,103.981186",0,4,30
1783958418,2026-07-13T16:00:18Z,SIA22,"1.350574,103.981049",0,3,19
1783958778,2026-07-13T16:06:18Z,SIA22,"1.35078,103.981163",0,6,22
1783958787,2026-07-13T16:06:27Z,SIA22,"1.351004,103.981255",0,6,22
1783958795,2026-07-13T16:06:35Z,SIA22,"1.351237,103.981346",0,7,22
1783958803,2026-07-13T16:06:43Z,SIA22,"1.351467,103.981453",0,7,22
1783958811,2026-07-13T16:06:51Z,SIA22,"1.351673,103.981537",0,8,22
1783958818,2026-07-13T16:06:58Z,SIA22,"1.35197,103.981667",0,9,22
1783958825,2026-07-13T16:07:05Z,SIA22,"1.352238,103.981773",0,9,22
1783958833,2026-07-13T16:07:13Z,SIA22,"1.352577,103.981918",0,10,22
1783958841,2026-07-13T16:07:21Z,SIA22,"1.352898,103.982056",0,11,22
1783958848,2026-07-13T16:07:28Z,SIA22,"1.353157,103.982162",0,11,22
1783958857,2026-07-13T16:07:37Z,SIA22,"1.353669,103.982376",0,11,22
1783958865,2026-07-13T16:07:45Z,SIA22,"1.354077,103.982552",0,11,22
1783958873,2026-07-13T16:07:53Z,SIA22,"1.354496,103.982719",0,12,22
1783958881,2026-07-13T16:08:01Z,SIA22,"1.354877,103.982887",0,12,22
1783958888,2026-07-13T16:08:08Z,SIA22,"1.355267,103.983047",0,12,22
1783958897,2026-07-13T16:08:17Z,SIA22,"1.355747,103.983253",0,12,22
1783958904,2026-07-13T16:08:24Z,SIA22,"1.356136,103.983421",0,13,22
1783958913,2026-07-13T16:08:33Z,SIA22,"1.35659,103.983604",0,13,22
1783958921,2026-07-13T16:08:41Z,SIA22,"1.357009,103.983788",0,13,22
